time,mode,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,feat_count,aft_x,aft_y,aft_z,chanR_degen,chanT_degen,bingham_l1,bingham_l2,bingham_l3,schur_t1,schur_t2,schur_t3,orig_semicircle_degen,orig_l1,orig_l2,orig_l3
1660857413.3753579,TIGHTLY_COUPLED,-0.048732435628110624,0.030350989835028885,0.4369086940009489,-0.025593651055945545,0.02519211238645511,0.0030126590052045456,0.9993504122102783,145,0.08665319513835941,-0.002432063331594959,0.4465628755323144,1,1,0.14744140421687815,0.1583952181033908,0.6941633776797308,0.13727561444977687,0.41121257414443785,0.9011435094051011,0,0.13723937537350256,0.4112742953368633,0.9011208619504142
1660857413.4661736,TIGHTLY_COUPLED,-0.04831984452188551,0.029454166760618794,0.43427990322801036,-0.02604616963454655,0.025727229890567246,0.002974565351186274,0.9993252016488416,145,0.08684877572361731,-0.004465634954779648,0.4408517293015309,1,1,0.1400825683067594,0.1677779313631837,0.6921395003300561,0.12857869679578376,0.4269919364216884,0.895067262813893,0,0.12849018929191655,0.42702938793188494,0.8950621057212998
1660857413.5972538,TIGHTLY_COUPLED,-0.048471038825178545,0.02650474345662907,0.43304638602788126,-0.025516155888689863,0.026016252559670057,0.003194472087937078,0.9993307138978043,146,0.08905038410566761,-0.006214526148264996,0.4392815375779173,1,1,0.11399008835580358,0.1358119256593422,0.7501979859848542,0.13422147489202654,0.38381520986799467,0.9136030212032994,0,0.13426216120824938,0.38400322777824447,0.9135180310883741
1660857413.6877992,TIGHTLY_COUPLED,-0.04790802369382808,0.02578184214716838,0.43427798537792706,-0.026075374394929497,0.026048932216013006,0.0033687702257165315,0.9993148549720136,149,0.08473975865485858,-0.005954204029906293,0.4445581857361534,1,1,0.13432385640964867,0.1529959315023869,0.7126802120879636,0.1287943603801484,0.4003427475768783,0.9072693630873161,0,0.12884088934625093,0.400524121141676,0.9071827013430951
1660857413.7883792,TIGHTLY_COUPLED,-0.047504475445398445,0.025841125018801734,0.43724390426133986,-0.027003076025717925,0.026019850750577306,0.003098275979649174,0.9992918502309629,144,0.0827722210930727,-0.005632773578188528,0.44370251364193497,1,1,0.13395148539539253,0.15476687517061624,0.7112816394339907,0.130051439443816,0.41561432148863486,0.9001951782097775,0,0.13006954370610593,0.4157703712154475,0.9001204987219514
1660857413.8906798,TIGHTLY_COUPLED,-0.04050265929983705,0.02575533657385866,0.4413748314290527,-0.028149360211165625,0.02568942627787385,0.0026753578537216556,0.9992699882201858,139,0.08927940802514513,-0.005188542890680866,0.44402913355087276,1,1,0.13507953048842702,0.17241215276649588,0.6925083167450773,0.14345856326326772,0.4328338323859604,0.8899856820019754,0,0.1432522165780874,0.4328186339994631,0.8900263100090375
1660857413.9913483,TIGHTLY_COUPLED,-0.028795241326753464,0.025866757804034295,0.4451887938352815,-0.028935364442435153,0.02502896882452196,0.002922237141233107,0.9992636068296769,146,0.10831994818196329,-0.006839521105367119,0.43642502191660953,1,1,0.1363345616724914,0.16326699090422486,0.7003984474232838,0.13976532237473843,0.4064294561489236,0.9029289849351252,0,0.13969992370554593,0.4065064263976338,0.9029044559719981
1660857414.0919054,TIGHTLY_COUPLED,-0.013596858528430686,0.02700475430124258,0.45830099667730206,-0.03063387070465741,0.025028300962512268,0.0038547645228872943,0.9992098332717975,125,0.12829407850958438,0.0022334465905407687,0.440542890901848,1,1,0.13118451985231017,0.14623555333642496,0.7225799268112649,0.16322664722805083,0.4187970334570305,0.8932894863381524,0,0.16325332845244334,0.4188334525706116,0.8932675353761491
1660857414.1925619,TIGHTLY_COUPLED,0.01567262170800489,0.0227340565815419,0.46040900065926255,-0.027853728080682,0.022355184443689547,0.002623731763605304,0.9993585600734747,132,0.1515309123274943,-0.005513063870721713,0.4502407721979383,1,1,0.1425087550302799,0.1675653660194543,0.6899258789502656,0.18374930184527222,0.3877573260593042,0.903261008877674,0,0.18367189407119025,0.3877222104939645,0.9032918259444039
1660857414.2930892,TIGHTLY_COUPLED,0.07370391204576758,0.011107332790360998,0.4454323845112727,-0.024580504949000874,0.022445075585836194,0.002561017664830326,0.9994425739115373,109,0.20416621500521587,-0.012819381449127958,0.44504108214266186,1,1,0.1260209960831284,0.1745646844884774,0.6994143194283935,0.16375661261211036,0.3916575515291985,0.9054215229140296,0,0.16383470713385356,0.3917934395911319,0.9053486010547067
1660857414.3937662,TIGHTLY_COUPLED,0.1406306112798103,-0.0070860065142008075,0.4454686040586936,-0.027615341825222323,0.022637949342024687,-0.00020723031105084836,0.999362233227303,96,0.27573032140491677,-0.0356421141604271,0.45276637141723314,1,1,0.13235531492281674,0.14520435496581421,0.7224403301113687,0.14906988156374273,0.39594146114873635,0.9060952100932745,0,0.14900070141346955,0.39592306900136076,0.9061146254259654
1660857414.5054746,TIGHTLY_COUPLED,0.23668274978247272,-0.033069509343399785,0.44889397154672106,-0.024914814073847498,0.02699239436712807,0.0037216292548300917,0.999318173637248,85,0.37100492011480585,-0.06499086898584995,0.4435227332771265,1,1,0.10965728882544448,0.16139627316465247,0.7289464380099031,0.1987347416410089,0.38760578199058443,0.9001479101971792,0,0.19871278111678847,0.387608004887956,0.9001518011800064
1660857414.6070757,TIGHTLY_COUPLED,0.2949234889079253,-0.045076114029836835,0.45205976668927605,-0.02574010081380806,0.025335385634511452,0.002356323465670339,0.9993447919434867,99,0.448291866706539,-0.06415621101620823,0.439911958268798,1,1,0.11197887548095067,0.21267723120539447,0.6753438933136549,0.19116050037805452,0.40882684944675834,0.8923666680612008,0,0.1910808129888187,0.4087941379059839,0.8923987201476903
1660857414.6976037,TIGHTLY_COUPLED,0.36727190117088104,-0.05018379056567661,0.44899217952044923,-0.027765895681302954,0.02321078925848677,0.002703151856113133,0.9993412866829109,91,0.5574910714233116,-0.07241977566629468,0.4316151487223547,1,1,0.1320845259941682,0.157375306450359,0.7105401675554729,0.18049686394653755,0.3932381606266465,0.9015456899860577,0,0.18047606378844674,0.3932919079392814,0.9015264086808041
1660857414.8082385,TIGHTLY_COUPLED,0.5129535854281,-0.046793214641117256,0.4437218121666819,-0.028645317002413406,0.02663663667171946,0.0025045388078776313,0.9992315360746027,107,0.6902552378116639,-0.05542309012350771,0.44873171442443244,1,1,0.12278761622738671,0.14978435925396796,0.7274280245186446,0.1881528352347119,0.36494681958221603,0.9118181449554318,0,0.18807057912932337,0.3649320150053016,0.9118410397049102
1660857414.9087882,TIGHTLY_COUPLED,0.6048264607358474,-0.04112870930415277,0.4533271209334906,-0.02999672055312833,0.028977908175226226,0.0041803466253284415,0.9991211149284844,77,0.7949778602478296,-0.05509787097887646,0.4061388234149436,1,1,0.1380477289460331,0.1632334960530793,0.6987187750008877,0.14784147483330373,0.3713999846364366,0.9166269414168277,0,0.14782663666615892,0.37174570586079897,0.9164891792411014
1660857414.9992652,TIGHTLY_COUPLED,0.713885002253251,-0.03374324979825171,0.457908656731019,-0.028351340260604437,0.025516174731708252,0.0028611446592758383,0.9992682023279471,107,0.8853813974785174,-0.03403610188266937,0.41527675359804306,1,1,0.13123441758453316,0.15805057994101637,0.7107150024744497,0.1551736501700512,0.3324324997293362,0.9302740302817268,0,0.1551414500002449,0.3324402237474777,0.9302766406432811
